id,empleado_id,trabajo_id,is_encargado,created_at,updated_at
1,7,1,0,2023-01-01 03:51:00,2023-01-02 18:51:00
2,8,1,0,2023-01-01 03:51:00,2023-01-02 18:51:00
3,4,1,1,2023-01-01 03:51:00,2023-01-02 18:51:00
4,1,1,0,2023-01-01 03:51:00,2023-01-02 18:51:00
5,2,1,0,2023-01-01 03:51:00,2023-01-02 18:51:00
6,1,2,0,2023-01-01 17:32:00,2023-01-04 16:32:00
7,5,2,0,2023-01-01 17:32:00,2023-01-04 16:32:00
8,9,2,1,2023-01-01 17:32:00,2023-01-04 16:32:00
9,6,2,0,2023-01-01 17:32:00,2023-01-04 16:32:00
10,8,2,0,2023-01-01 17:32:00,2023-01-04 16:32:00
11,7,3,1,2023-01-04 01:45:00,2023-01-04 06:45:00
12,0,3,0,2023-01-04 01:45:00,2023-01-04 06:45:00
13,3,3,0,2023-01-04 01:45:00,2023-01-04 06:45:00
14,2,3,0,2023-01-04 01:45:00,2023-01-04 06:45:00
15,6,4,0,2023-01-06 07:53:00,2023-01-07 06:53:00
16,5,4,1,2023-01-06 07:53:00,2023-01-07 06:53:00
17,1,4,0,2023-01-06 07:53:00,2023-01-07 06:53:00
18,5,5,1,2023-01-07 09:55:00,2023-01-07 12:55:00
19,6,5,0,2023-01-07 09:55:00,2023-01-07 12:55:00
20,1,5,0,2023-01-07 09:55:00,2023-01-07 12:55:00
21,7,5,0,2023-01-07 09:55:00,2023-01-07 12:55:00
22,5,6,0,2023-01-05 05:11:00,2023-01-05 18:11:00
23,8,6,1,2023-01-05 05:11:00,2023-01-05 18:11:00
24,9,6,0,2023-01-05 05:11:00,2023-01-05 18:11:00
25,1,7,0,2023-01-02 21:35:00,2023-01-03 00:35:00
26,6,7,1,2023-01-02 21:35:00,2023-01-03 00:35:00
27,5,7,0,2023-01-02 21:35:00,2023-01-03 00:35:00
28,9,7,0,2023-01-02 21:35:00,2023-01-03 00:35:00
29,0,7,0,2023-01-02 21:35:00,2023-01-03 00:35:00
30,2,8,0,2023-01-04 14:38:00,2023-01-07 00:38:00
31,1,8,0,2023-01-04 14:38:00,2023-01-07 00:38:00
32,5,8,0,2023-01-04 14:38:00,2023-01-07 00:38:00
33,6,8,0,2023-01-04 14:38:00,2023-01-07 00:38:00
34,3,8,1,2023-01-04 14:38:00,2023-01-07 00:38:00
35,6,9,0,2023-01-03 14:39:00,2023-01-04 05:39:00
36,3,9,0,2023-01-03 14:39:00,2023-01-04 05:39:00
37,1,9,1,2023-01-03 14:39:00,2023-01-04 05:39:00
38,6,10,0,2023-01-01 18:04:00,2023-01-02 02:04:00
39,1,10,1,2023-01-01 18:04:00,2023-01-02 02:04:00
40,7,11,0,2023-01-01 05:05:00,2023-01-02 20:05:00
41,2,11,0,2023-01-01 05:05:00,2023-01-02 20:05:00
42,0,11,0,2023-01-01 05:05:00,2023-01-02 20:05:00
43,8,11,1,2023-01-01 05:05:00,2023-01-02 20:05:00
44,6,12,1,2023-01-03 05:19:00,2023-01-05 18:19:00
45,9,12,0,2023-01-03 05:19:00,2023-01-05 18:19:00
46,3,12,0,2023-01-03 05:19:00,2023-01-05 18:19:00
47,4,12,0,2023-01-03 05:19:00,2023-01-05 18:19:00
48,2,12,0,2023-01-03 05:19:00,2023-01-05 18:19:00
49,2,13,0,2023-01-08 05:35:00,2023-01-08 19:35:00
50,0,13,0,2023-01-08 05:35:00,2023-01-08 19:35:00
51,4,13,1,2023-01-08 05:35:00,2023-01-08 19:35:00
52,3,13,0,2023-01-08 05:35:00,2023-01-08 19:35:00
53,9,14,1,2023-01-04 21:30:00,2023-01-05 10:30:00
54,6,14,0,2023-01-04 21:30:00,2023-01-05 10:30:00
55,2,15,0,2023-01-08 08:19:00,2023-01-09 01:19:00
56,0,15,0,2023-01-08 08:19:00,2023-01-09 01:19:00
57,5,15,1,2023-01-08 08:19:00,2023-01-09 01:19:00
58,1,15,0,2023-01-08 08:19:00,2023-01-09 01:19:00
59,6,15,0,2023-01-08 08:19:00,2023-01-09 01:19:00
60,1,16,0,2023-01-06 06:48:00,2023-01-08 19:48:00
61,6,16,0,2023-01-06 06:48:00,2023-01-08 19:48:00
62,7,16,0,2023-01-06 06:48:00,2023-01-08 19:48:00
63,3,16,0,2023-01-06 06:48:00,2023-01-08 19:48:00
64,5,16,1,2023-01-06 06:48:00,2023-01-08 19:48:00
65,3,17,0,2023-01-08 02:28:00,2023-01-10 01:28:00
66,4,17,1,2023-01-08 02:28:00,2023-01-10 01:28:00
